params,mean_test_score,std_test_score,max_test_score,min_test_score,rank_test_score
"{'C': 100, 'solver': 'sag'}",0.3446431831132748,0.008224388860228768,0.35335689045936397,0.33411903358868594,7
"{'C': 1000, 'solver': 'sag'}",0.3446431831132748,0.008224388860228768,0.35335689045936397,0.33411903358868594,7
"{'C': 10, 'solver': 'sag'}",0.3446431831132748,0.008224388860228768,0.35335689045936397,0.33411903358868594,7
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'adam'}",0.34487819910838285,0.009554498105678579,0.3574793875147232,0.3323512080141426,160
"{'C': 1000, 'solver': 'saga'}",0.3448786849654313,0.008464097992788355,0.3545347467608952,0.33411903358868594,4
"{'C': 100, 'solver': 'saga'}",0.3448786849654313,0.008464097992788355,0.3545347467608952,0.33411903358868594,4
"{'C': 10, 'solver': 'saga'}",0.3448786849654313,0.008464097992788355,0.3545347467608952,0.33411903358868594,4
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100, 50), 'solver': 'adam'}",0.34487910141432987,0.007552667449621918,0.35924617196702,0.33824395992928696,159
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 20), 'solver': 'adam'}",0.34511654669467984,0.011706443568053797,0.3582793164407778,0.3264584560989982,158
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 20), 'solver': 'adam'}",0.345464906198356,0.01623279569832326,0.36866902237926974,0.33117265763111375,157
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50, 50), 'solver': 'adam'}",0.3454694177280908,0.0071290441416162345,0.3529758397171479,0.3323512080141426,156
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 50, 50), 'solver': 'adam'}",0.3455860928278477,0.007763025578764141,0.3586572438162544,0.3370654095462581,155
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 20, 10), 'solver': 'adam'}",0.34558970205163553,0.012218404687085219,0.3635827931644078,0.33568904593639576,154
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100, 50, 50), 'solver': 'adam'}",0.34570346200910224,0.01639657811153723,0.37691401648998824,0.3292108362779741,153
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': 10, 'solver': 'sgd'}",0.34582263580225064,0.00561381362614629,0.35276796230859836,0.33765468473777255,152
"{'C': 100, 'degree': 4, 'kernel': 'poly'}",0.34629384773101285,0.004096692272850203,0.35276796230859836,0.34060106069534474,9
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 50, 20), 'solver': 'adam'}",0.34641080046336886,0.005975025651333195,0.35276796230859836,0.33588685916322925,151
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'solver': 'adam'}",0.34652830846092286,0.012719474221633784,0.3624042427813789,0.3305833824395993,150
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': 50, 'solver': 'adam'}",0.3465299742565172,0.01315110540367569,0.36454652532391046,0.3286219081272085,149
"{'C': 1000, 'degree': 3, 'kernel': 'poly'}",0.3466478292948202,0.00783932726961388,0.3582793164407778,0.33824395992928696,8
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': 20, 'solver': 'adam'}",0.34782499151485363,0.012998125035333876,0.3657243816254417,0.33117265763111375,148
"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (20, 20), 'solver': 'adam'}",0.34794485938949976,0.006924236417265034,0.36122569239835,0.3409893992932862,147
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'solver': 'adam'}",0.3479449287976496,0.010824379843763506,0.36947554507955216,0.34119033588685915,146
"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': 100, 'solver': 'adam'}",0.348061118040358,0.016733463175301402,0.37477902180318207,0.3294048320565704,145
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100, 100), 'solver': 'adam'}",0.3481797365683084,0.007543992395714342,0.3582793164407778,0.33588685916322925,144
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50, 20), 'solver': 'adam'}",0.34829648107621497,0.014571394056869132,0.36652916912197997,0.3223335297583972,143
"{'C': 10, 'degree': 5, 'kernel': 'poly'}",0.34829696693326334,0.0052594036930414655,0.3523865645256335,0.33824395992928696,7
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'adam'}",0.3482991879940559,0.010468665915681722,0.3635827931644078,0.33510011778563015,142
"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (20, 10), 'solver': 'sgd'}",0.34841246209447424,0.011832068945526868,0.36925795053003535,0.33352975839717147,141
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20, 10), 'solver': 'sgd'}",0.3484152384204649,0.007096681175006645,0.3565114908662345,0.33588685916322925,140
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 50), 'solver': 'adam'}",0.3484161407264118,0.005363130901160047,0.3588685916322923,0.34452296819787986,139
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20, 10), 'solver': 'adam'}",0.348533024050618,0.008931504369977023,0.3624042427813789,0.33588685916322925,138
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100, 20), 'solver': 'adam'}",0.34864817217108,0.013488961620533245,0.36984687868080096,0.32999410724808487,137
